n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,threshold_pctile,horizon_bars
19749,False,4.328272824581662,7.443025412614546,2.0185000232567627,0.5614967846473239,0.4385032153526761,50.180305864440136,-54.38456717299232,52.023887966423125,-113.13377268792378,105.10694939437558,3.7722236781549165,0.00016227132412623076,MNQ,discovery,0.85,60
13850,False,5.933545000263892,8.287577763165244,2.0185000232567627,0.5641155234657039,0.435884476534296,53.03422377829952,-55.023487183402224,53.901312816321536,-116.76774720860122,110.08430033204984,5.168287900871311,2.3953409186623396e-07,MNQ,discovery,0.9,60
7462,False,6.886768280707219,8.698999133779362,2.0185000232567627,0.5616456714017689,0.43835432859823104,55.73274962682565,-55.69761197657873,55.71734688574314,-118.43451236218633,115.28706187417588,4.741941236588617,2.156084534493497e-06,MNQ,discovery,0.95,60
4248,False,8.559482404324468,9.51606046172948,2.0185000232567627,0.564030131826742,0.435969868173258,56.71133421653812,-53.73632587972732,55.414320224124374,-113.95840019789394,124.38938014792548,5.389689496596379,7.440692975546517e-08,MNQ,discovery,0.975,60
37474,False,6.689201372669958,9.407142038941885,3.374096371209318,0.5767198591023109,0.42328014089768906,55.735590043272225,-60.136580492735185,57.59844190081029,-123.30475895263376,121.71317326411429,6.46726405919185,1.0101956663907458e-10,MNQ,discovery,0.7,100
31483,False,6.756541529466107,9.775717118676308,3.374096371209318,0.5778356573388813,0.4221643426611187,56.74263874888391,-61.66171748909149,58.81929839174194,-126.4792701572538,123.55985448923713,5.9050800900880125,3.5608754052268505e-09,MNQ,discovery,0.75,100
25743,False,6.842884909800084,10.468493212363317,3.374096371209318,0.5821776793691489,0.4178223206308511,56.8133452629368,-62.784047900953,59.30803809494947,-128.33018234484138,126.28951963721444,5.586159859008592,2.3448976504999458e-08,MNQ,discovery,0.8,100
19749,False,7.307502687377197,10.876237037356074,3.374096371209318,0.5830674970884602,0.4169325029115398,58.53229758656854,-64.328823917455,60.94905781789767,-129.6204206981384,128.89736964575795,5.400332962984325,6.728564052105768e-08,MNQ,discovery,0.85,100
13850,False,8.322220681212112,12.067651058866868,3.374096371209318,0.5921299638989169,0.407870036101083,60.29686656322116,-67.13256262173641,63.0849421613838,-136.63833381227556,131.7697801207648,5.485466781313616,4.196138732678397e-08,MNQ,discovery,0.9,100
7462,False,8.968213940751015,12.677940065134452,3.374096371209318,0.5932725810774592,0.4067274189225409,62.833313790362624,-69.60206514795757,65.58635055936566,-141.9464153714391,137.4187119112109,4.44310036406583,8.99518500402425e-06,MNQ,discovery,0.95,100
4248,False,12.648125990751788,13.530668937290491,3.374096371209318,0.5965160075329566,0.4034839924670433,64.30461823254724,-63.721507230199,64.0693422772683,-136.98894376599145,151.3276693098149,6.424368262386854,1.4699212625654955e-10,MNQ,discovery,0.975,100
